Source	Target	Weight
0	709	10
1	501	8
1	747	8
1	808	10
2	48	10
2	165	2
2	392	5
2	393	4
2	473	10
2	558	3
3	13	5
3	146	3
3	158	2
3	865	2
3	919	5
4	513	7
4	651	1
4	752	8
4	792	3
4	963	10
5	235	6
5	723	9
5	851	4
6	260	3
6	272	8
6	357	2
6	415	5
7	168	6
7	626	3
7	648	9
7	713	6
7	987	1
8	32	3
8	341	5
8	768	5
8	782	1
9	16	3
9	182	5
9	225	10
9	778	5
9	963	7
10	227	8
10	944	4
10	956	5
11	275	10
11	291	10
11	837	4
11	860	6
12	72	5
12	89	5
12	144	9
12	309	7
12	453	1
12	687	10
12	866	8
12	943	6
13	207	7
13	634	9
13	984	8
14	35	1
14	343	10
14	997	3
14	999	7
15	167	5
15	235	2
15	322	2
15	356	6
15	747	1
16	322	7
16	623	3
16	879	7
16	880	2
17	83	1
17	415	1
17	485	7
17	529	8
17	606	1
17	620	3
17	660	4
17	785	4
18	140	2
18	334	8
18	452	5
18	535	2
18	564	3
19	73	2
19	136	7
19	791	9
20	66	1
20	349	2
20	356	5
20	512	8
20	518	7
20	785	4
21	69	7
21	241	7
21	356	8
21	380	1
21	715	4
21	733	3
21	794	5
21	867	9
21	891	3
21	928	3
21	961	2
22	57	3
22	228	5
22	312	1
22	556	7
22	609	3
22	625	8
22	734	7
22	788	6
22	936	3
23	137	4
23	781	8
23	965	5
24	462	2
25	344	8
25	451	7
25	682	10
25	898	2
26	190	10
26	527	7
26	622	8
26	671	7
26	944	2
27	77	9
27	333	1
27	454	6
27	459	10
27	890	7
27	938	2
27	987	10
28	202	3
28	466	1
28	694	6
29	312	6
29	535	3
30	94	1
30	98	7
30	192	2
30	530	6
30	723	3
31	199	4
31	225	3
31	553	9
31	603	1
31	840	8
31	925	9
31	961	8
32	136	10
32	713	7
32	827	7
33	327	5
33	355	1
33	541	1
33	629	7
33	731	7
33	762	2
33	979	9
34	142	3
34	193	10
34	204	10
34	371	9
34	375	8
34	658	8
34	738	7
35	199	2
35	632	1
35	726	7
35	927	6
36	162	8
37	119	2
37	136	8
37	250	6
37	254	9
37	636	3
37	722	1
37	846	4
38	433	3
38	737	8
38	824	4
38	839	8
39	129	4
39	180	3
39	556	8
39	894	8
39	984	5
40	455	1
41	173	1
41	356	7
41	362	2
41	685	3
41	717	4
41	818	7
41	913	6
41	927	5
42	321	5
42	425	1
42	520	8
42	542	1
42	590	9
42	702	5
42	967	1
43	131	4
43	212	7
43	309	7
43	343	9
43	552	8
43	986	1
44	279	7
44	315	4
44	619	7
45	179	1
45	247	7
45	348	2
45	523	5
45	618	9
45	711	1
45	860	2
46	548	1
46	610	4
47	441	4
47	490	3
47	550	4
47	564	7
